,Question,Answer
503,Do giant pandas attack humans?,Yes
504,What family is the panda a part of?,Ursidae (bear)
505,What family is the panda a part of?,Ursidae
506,How long does it take for the panda cubs skin to turn gray?,one to two weeks after birth
507,How long does it take for the panda cubs skin to turn gray?,One to two weeks
508,How many different names did Chinese writings give to the panda?,20
509,How many different names did Chinese writings give to the panda?,20
510,What foods do pandas eat?,bamboo
511,What foods do pandas eat?,"bamboo, honeys, eggs, fish, yams, shrub leaves, oranges, and bananas"
512,What are the two subspecies of giant pandas?,Ailuropoda melanoleuca melanoleuca and  Ailuropoda melanoleuca qinlingensis 
513,What are the two subspecies of giant pandas?,"Ailuropoda melanoleuca melanoleuca and The Qinling Panda, Ailuropoda melanoleuca qinlingensis"
514,What is panda diplomacy?,Loans of Giant Pandas to American and Japanese zoos
515,What is panda diplomacy?,Loans of Giant Pandas to American and Japanese zoos
516,Is the Giant Panda a mammal?,yes
517,Is the Giant Panda a mammal?,Yes
518,Is the Giant Panda a terrestrial animal?,yes
519,Is the Giant Panda a terrestrial animal?,Yes
520,Is the Giant Panda an endangered species?,yes
521,Is the Giant Panda an endangered species?,Yes
522,Where do Giant Pandas live?,a few mountain ranges in central china
523,Where do Giant Pandas live?,"Sichuan province, Shaanxi and Gansu provinces"
524,When was the Giant Panda's genome sequenced?,2009
525,When was the Giant Panda's genome sequenced?,2009
526,How many subspecies of the Giant Panda are there?,Two
527,How many subspecies of the Giant Panda are there?,Two
528,Is the Giant Panda a carnivore?,Yes
529,Why is the Giant Panda an endangered species?,threatened by habitat loss
530,Why is the Giant Panda an endangered species?,It is threatened by continued habitat loss and by a very low birthrate
531,Is the population of wild Giant  Pandas growing?,"according to some reports, yes"
532,Is the population of wild Giant  Pandas growing?,Yes but uncertain
533,Is an acoustic guitar dependent on an external device?,No
534,Is an acoustic guitar dependent on an external device?,No.
535,Is the battente smaller than a classical guitar?,Yes
536,Is the battente smaller than a classical guitar?,Yes.
537,Is the flamenco guitar similar to the classical guitar?,Yes
538,Is the flamenco guitar similar to the classical guitar?,Yes.
539,Where is the headstock located?,end of the guitar neck furthest from the body
540,Where is the headstock located?,At the end of the guitar.
541,Whom are guitars made and repaired by?,luthiers
542,Whom are guitars made and repaired by?,Luthiers.
543,What are modern guitar strings constructed of?,"metal, polymers, animal or plant product materials"
544,What are modern guitar strings constructed of?,"Metal, polymers, or animal or plant product materials."
545,Why are Harp Guitars difficult to classify?,as there are many variations within this type of guitar
546,Why are Harp Guitars difficult to classify?,There are many variations within this type.
547,What is the bridge used for?,transfer the vibration from the strings to the soundboard
548,What is the bridge used for?,The transfer of string vibrations.
549,Which guitars use three single-coil pickups?,Fender Statocaster type guitars
550,Which guitars use three single-coil pickups?,Fender Stratocaster type guitars.
551,Is a guitar an instrument?,Yes
552,Is a guitar an instrument?,yes
553,Can guitars be divided into two broad categories?,Yes
554,Can guitars be divided into two broad categories?,yes
555,Do picks come in many shapes and sizes?,Yes
556,Do picks come in many shapes and sizes?,yes
557,How many strings does a guitar typically have?,Six
558,How many strings does a guitar typically have?,six
559,What is located at the end of the guitar neck furthest from the body?,Headstock
560,What is located at the end of the guitar neck furthest from the body?,headstock
561,What are most electric guitar bodies made of?,Wood
562,What are most electric guitar bodies made of?,wood
563,Why do some people believe that left-handed people should learn to play guitars as right-handed people do?,to standardise the instrument
564,Why do some people believe that left-handed people should learn to play guitars as right-handed people do?,to standardise the instrument
565,How old is the oldest known representation of a guitar-like intrument being played?,"3,300 years old"
566,How old is the oldest known representation of a guitar-like intrument being played?,"3,300 years old"
567,What is the point called that is bolted or glued to the body of the guitar?,Neck Joint
568,What is the point called that is bolted or glued to the body of the guitar?,Neck joint or 'Heel'
569,Did Becquerel study science at the École des Ponts et Chaussées?,Yes
570,Did he become chief engineer in the Department of Bridges and Highways in 1892?,No
571,Did he become chief engineer in the Department of Bridges and Highways in 1892?,yes
572,Was Becquerel a French physicist?,Yes
573,Was Becquerel a French physicist?,yes
574,Whom did he share the Nobel Prize with?,Pierre and Marie Curie
575,Whom did he share the Nobel Prize with?,Pierre and Marie Curie
576,When did he die?,1908
577,When did he die?,1908
578,What is the SI unit for radioactivity called?,becquerel
579,What is the SI unit for radioactivity called?,the becquerel (Bq)
580,"When Becquerel discovered radioactivity, whose work did he investigate?",Wilhelm Conrad Röntgen
581,"When Becquerel discovered radioactivity, whose work did he investigate?",Wilhelm Conrad RÃ¶ntgen
582,Where are there craters named Becquerel?,Moon and Mars
583,Where are there craters named Becquerel?,on the moon and on mars
584,Why did Bequerel win the Nobel Prize in Physics?,discovery of spontaneous radioactivity
585,Why did Bequerel win the Nobel Prize in Physics?,was the discoverer of radioactivity
586,Was Isaac Newton British?,Yes.
587,Was Isaac Newton British?,"Yes, he was English."
588,Was Isaac Newton religious?,It is not clear.
589,Was Isaac Newton religious?,"Yes, he was highly religious, though an unorthodox Christian."
590,Did Isaac Newton die in 1898?,No.
591,Did Isaac Newton die in 1898?,"No, Newton died in his sleep in London on 31 March 1727."
592,Where was Isaac Newton born?,At Woolsthorpe Manor in Woosthorpe-by-Colsterworth.
593,Where was Isaac Newton born?,"He was born at Woolsthorpe Manor in Woolsthorpe-by-Colsterworth, a hamlet in the county of Lincolnshire."
594,Who shares credit with Isaac Newton for developing calculus?,Gottfried Leibniz.
595,Who shares credit with Isaac Newton for developing calculus?,Newton shares the credit with Gottfried Leibniz for the development of the differential and integral calculus.
596,When did Isaac Newton discover the generalized binomial theorem?,In 1665.
597,When did Isaac Newton discover the generalized binomial theorem?,In 1665.
598,Did the Occult influence Newton's theory of gravitation?,Yes.
599,Did the Occult influence Newton's theory of gravitation?,"If Newton had not relied on the occult idea of action at a distance, he might not have developed his theory of gravity."
600,Were Newton's religious views consistent with Anglicanism?,No.
601,Were Newton's religious views consistent with Anglicanism?,"No, a conflict between Newton's religious views and Anglican orthodoxy was averted."
602,Which fruit inspired Isaac Newton's theory of gravitation?,The apple.
603,Which fruit inspired Isaac Newton's theory of gravitation?,Isaac Newton's theory of gravitation was inspired by watching the fall of an apple from a tree.
604,Was Sir Isaac Newton an English physicist and mathematician?,yes
605,Was Sir Isaac Newton an English physicist and mathematician?,yes
606,Did he build the first practical reflecting telescope?,yes
607,"Was Isaac Newton educated at The King's Schol, Grantham?",yes
608,"Was Isaac Newton educated at The King's Schol, Grantham?",yes
609,Where was Isaac Newton born?,Woolsthorpe Manor in Woolsthorpe-by-Colsterworth
610,Where was Isaac Newton born?,Woolsthorpe Manor in Woolsthorpe-by-Colsterworth
611,When was the Principia published?,1687
612,When was the Principia published?,1687
613,Where is there a Newton statue on display?,Oxford University Museum of Natural History 
614,Where is there a Newton statue on display?,Oxford University Museum of Natural History
615,Where was Isaac Newton buried?,Westminster Abbey
616,Where was Isaac Newton buried?,Westminster Abbey
617,What religion did Isaac Newton follow?,he never made a public declaration of his private faith
618,What religion did Isaac Newton follow?,unorthodox Christian
619,What food gave Isaac Newton clues to his theory of gravity?,apple
620,What food gave Isaac Newton clues to his theory of gravity?,apple
621,Who was a farmer and later a land surveyor for the government?, LeRoy Pollock was a farmer and later a land surveyor for the government.
622,"Regarding this topic, what did David Alfaro Siqueiros do?",Pollock was introduced to the use of liquid paint in 1936 at an experimental workshop operated in New York City by the Mexican muralist David Alfaro Siqueiros.
623,"Who used hardened brushes, sticks,?","Jackson Pollock used hardened brushes, sticks."
624,When were his papers donated by Lee Krasner?,In 1983.
625,Did Free Jazz feature a Pollock painting as its cover artwork?,Yes.
626,Was Paul Jackson Pollock an influential American painter as well as a major figure in the abstract expressionist movement?,"Yes, Pollock was an influential American painter and a major figure in the abstract expressionist movement."
627,Give an example of the origins of the term action painting. ,Pollock's technique of pouring and dripping paint is thought to be one of the origins of the term action painting.
628,"During his lifetime, did Pollock enjoy considerable fame and notoriety?",Yes.
629,Was he regarded as a mostly reclusive artist?,"Yes, he was regarded as a mostly reclusive artist. "
630,Is the Wisma building the tallest building in Indonesia?,yes
631,Is the Wisma building the tallest building in Indonesia?,"Yes,"
632,is there a chinese community in jakarta?,yes
633,is there a chinese community in jakarta?,Yes.
634,Is Jakarta the 12th largest city in the world?,yes
635,Is Jakarta the 12th largest city in the world?,Yes.
636,What is the capital of Indonesia?,Jakarta
637,What is the capital of Indonesia?,The capital of Indonesia is Jakarta.
638,What is the official name of Jakarta?,Daerah Khusus Ibukota Jakarta
639,What is the official name of Jakarta?,Daerah Khusus.
640,How is the climate in the city?,Jakarta has a hot and humid equatorial/tropical climate 
641,How is the climate in the city?,The city is hot and humid.
642,Where does the name of the city Jakarta come from?,"The name Jakarta is derived from the Sanskrit word ""Jayakarta."""
643,How is the city's governor chosen?,election
644,How is the city's governor chosen?,Through election.
645,Why does Jakarta suffer frequent flooding?,Because it is located approximately eight meters above the sea level
646,Why does Jakarta suffer frequent flooding?,"The fact that the northern part of Jakarta lies on a plain, approximately eight meters above the sea level."
647,Is the the biggest university in Jakarta the University of Indonesia,yes
648,Is Jakarta a city,yes
649,Is Jakarta a city,Yes
650,Is the most important river the Ciliwung River,yes
651,Is the most important river the Ciliwung River,Yes
652,Where is Jakarta located,northwest coast of Java
653,Where is Jakarta located,On the northwest coast of Java
654,Who created Monas Park,General Herman Willem Deandels
655,Who created Monas Park,Dutch Governor General Herman Willem Deandels
656,Do mikrolets travel on the main roads?,no
657,Do mikrolets travel on the main roads?,No
658,What contributes to frequent flooding in Jakarta,"Jakarta lies on a plain eight meters, approximately eight meters above the sea level."
659,What contributes to frequent flooding in Jakarta,"It lies on a plain, approximately eight meters above the sea level"
660,Did the economy improve in Jakarta in 2007,yes
661,Did the economy improve in Jakarta in 2007,Yes
662,"In AD 39, King Purnawarman established Sunda Pura as a new capital city for the kingdom, located at the northern coast of where?",Java
663,"In 1602, the British East India Company's first voyage, commanded by Sir who, arrived in Aceh and sailed on to Banten where they were allowed to build a trading post?",James Lancaster
664,Who began control of migration to the city in order to stem the overcrowding and poverty?,Lieutenant General Ali Sadikin began control of migration to the city in order to stem the overcrowding and poverty.
665,Did Jayawikarta's soldiers attack the Dutch fortress?,yes
666,Did Suharto resign as president?,Yes
667,Was the Jakarta area part of the fourth century Indianized kingdom of Tarumanagara?,Yes
668,Do other landmarks include the Istiqlal Mosque as well as Jakarta Cathedral?,Yes
669,Give an example of the many Sukarno era monuments in the city. ,The West Irian Liberation Statue is one of the many Sukarno era monuments in the city. 
670,"Is Jakarta the country's economic, cultural and political center?",Yes.
671,Is James Watt French?,"No, he was Scottish."
672,Is James Watt French?,No
673,Did James Watt improve an engine?,"Yes, his improvements to the Newcomen steam engine were fundamental to the changes brought by the Industrial Revolution."
674,Did James Watt improve an engine?,Yes
675,Is there a statue of Watt in the White House?,"No, a colossal statue of Watt by Chantrey was placed in Westminster Abbey, and later was moved to St. Paul's Cathedral."
676,Is there a statue of Watt in the White House?,No
677,What was James Watt's father's job?,"His father was a shipwright, ship owner and contractor, and served as the town's chief baillie."
678,What was James Watt's father's job?,"His father was a shipwright, ship owner and contractor, and served as the town's chief baillie."
679,When did Watt retire?,In 1800.
680,When did Watt retire?,Watt retired in 1800.
681,Where is the James Watt Memorial College?,In Greenock.
682,Where is the James Watt Memorial College?,The James Watt Memorial  is in Greenock.
683,Why is the watt named after Watt?,The watt is named after him for his contributions to the development of the steam engine.
684,Why is the watt named after Watt?,The watt is named after James Watt for his contributions to the development of the steam engine.
685,Where did Watt attend university?,Watt did not attend school regularly.
686,Where did Watt attend university?,He did not attend a university.
687,What did he invent?,"He invented a new method of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures."
688,What did he invent?,"He invented a new method of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures."
707,What happened in the early 20th century?,The koalas of South Australia were largely exterminated.
708,Do Koalas have a slow metabolism?,yes
709,Did eucalypt forests grow in the place of rainforests?,"Yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests."
710,Does the koala fill the same ecological role as the sloth of South America?,The koala fills the same ecological role as the sloth of South America.
711,Is the long term viability of the koala therefore threatened by genetic weakness?,The long term viability of the koala is therefore threatened by genetic weakness.
712,"Is the koala found in coastal regions of eastern and southern Australia, from near Adelaide to the southern part of Cape York Peninsula?",yes
713,Do populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands?,Populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands.
714,"Were the koalas of South Australia largely exterminated during the early part of the 20th century, but the state has since been repopulated with Victorian stock?","The koalas of South Australia were largely exterminated during the early part of the 20th century, but the state has since been repopulated with Victorian stock."
715,Is Korean the official language of Korea?,Yes
716,Is Korean the official language of Korea?,Yes
717,"Is the word ""Korean"" derived from Goryeo?",Yes
718,"Is the word ""Korean"" derived from Goryeo?",yes
719,Are all dialects of Korean similar to each other?,Yes
720,Are all dialects of Korean similar to each other?,Yes
721,About how many Koreans speakers are there?,78 million
722,About how many Koreans speakers are there?,78 million Korean speakers
723,"Older English sources used the name ""Korean"" to refer to what?","language, country, and people"
724,"Older English sources used the name ""Korean"" to refer to what?","language, country, and people"
725,What is the official language of North Korea?,Korean
726,What is the official language of North Korea?,Korean
727,Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?,English does not have an identical grammatical category
728,Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?,English does not have an identical grammatical category
729,Where do the majority of loanwords other than Sino-Korean come from?,modern times
730,Where do the majority of loanwords other than Sino-Korean come from?,"modern times, 90% of which are from English"
731,How many Korean speakers are there?,There are about 78 million Korean speakers.
733,How many parts of speech does the Korean language contain?,The Korean Language contains nine parts of speech. 
735,How many verb paradigms are there in Korean?,There are seven verb paradigms or speech levels in Korean.
737,What is the Sino-Korean system of numbers based on?,The Sino-Korean system is nearly entirely based on the Chinese numerals.
739,What is another term for Korean adjectives?,"Adjectives are also known as ""descriptive verbs"" or ""stative verbs""."
741,Is modern Korean written in columns or rows?,It is written in rows.
743,What percentage of the Korean language does Jeong Jae-do estimate to be Sino-Korean?,Sino-Korean makes up 30% of the Korean language.
745,Do Chinese and Japanese have spaces between words?,"No, Chinese and Japanese do not have spaces between words."
747,From which languages is Korean descended?,"Korean is descended from Old Korean, Middle Korean and Modern Korean."
749,Are there seven verb paradigms or speech levels in Korean?,Yes.
750,Is Modern Korean written with spaces between words?,Yes.
751,Are the Korean names for the language based on the names for Korea used in North as well as South Korea?,Yes.
752,Is it not also one of the two official languages of the Yanbian Korean Autonomous Prefecture in China?,Yes.
753,Is the dialect spoken in Jeju located in fact classified as a different language by all Korean linguists?,The dialect spoken in Jeju is in fact classified as a different language by some Korean linguists.
754,Is it also one of the two official languages in the Yanbian Korean Autonomous Prefecture in China?,Yes
755,Is Kuala Lumpur the capitol of Malaysia? disfluent,Yes
757,Is Kuala Lumpur in the Selangor state?,Yes
759,What's the population of Kuala lumpur?,1.6 million
761,What language do they speak in Kuala Lumpur?,Bahasa Melayu
763,"What does the name ""Kuala Lumpur"" mean?","muddy confluence, ""muddy estuary,"" and ""muddy city"""
765,What airports does Kuala Lumpur have?,Kuala Lumpur International Airport and Subang International Airport
767,How long was Kuala Lumpur occupied by the Japanese?,42 months
769,How many seasons does Kuala Lumpur experience?,1
771,When were the colonial buildings in Kuala Lumpur constructed?,toward the end of the 19th and early 20th centuries
773,Is it a host city for the Formula One World Championship?,Yes
775,is the central market located in the proximity of the pertama complex?,No
777,is it home to the parliament of malaysia?,Yes
779,when did kuala lumpur become a federal territory of malaysia?,"February 1, 1974"
781,What is the city's population?,1.6 million
783,What is the official religion in the country?,Islam
785,Is there a more industrialized region in malaysia?,No
787,"after the 2008 elections, what party had the most parliament seats?",DAP
789,what is the name of the event that draws the worlds top riders to malaysia?,KL Grand Prix CSI 5*
791,Wasn't Leonardo da Vinci valued as an engineer?,no
792,Wasn't Leonardo da Vinci born on April 15?,"Yes, Leonardo da Vinci was born on April 15."
793,Who left Verroccio's studio?,Leonardo da Vinci left Verroccio's studio.
794,"When did Baldassare Castiglione, author of Il Cortegiano ( "" The Courtier "" ), write?",1528
795,When did he flee to Venice?,In 1499.
796,Was Leonardo a contemporary of Botticelli Domenico Ghirlandaio as well as Perugino?,"Leonardo was a contemporary of Botticelli, Domenico Ghirlandaio and Perugino."
797,Is the larger work now almost universally attributed to Leonardo?,"Although previously attributed to Ghirlandaio, the larger work is now almost universally attributed to Leonardo."
798,"Has Leonardo often been described as the archetype of the Renaissance man, a man whose unquenchable curiosity was equaled only by his powers of invention?",Yes
799,Is he widely considered to be one of the greatest painters of all time and perhaps the most diversely talented person ever to have lived?,Yes.
800,"According to art historian Helen Gardner, were the scope and depth of his interests without precedent and ``his mind and personality seem to us superhuman, the man himself mysterious and remote''?",Yes
801,Are lobsters invertebrates?,Yes
802,Are lobsters invertebrates?,Yes
803,Are lobsters kosher?,No
804,Are lobsters kosher?,No
805,Do lobsters have blue blood?,yes
806,Do lobsters have blue blood?,Yes
807,How many legs do lobsters have?,10.
808,How many legs do lobsters have?,10
809,Where are lobsters found?,In all oceans.
810,Where are lobsters found?,In all oceans
811,What is the mean level of mercury in American lobsters?,0.31 ppm
812,What is the mean level of mercury in American lobsters?,0.31 ppm
813,Do lobsters feel pain?,yes.
814,Do lobsters feel pain?,Yes
815,Did the Moche people worship lobsters?,yes.
816,Did the Moche people worship lobsters?,Yes
817,What is the caridoid escape reaction?,Swimming backwards quickly by curling and uncurling their abdomen.
818,What is the caridoid escape reaction?,When lobsters swim backwards quickly by curling and uncurling their abdomen
819,Were the recitations of the Ancient Greeks accompanied by lyre playing?,Yes
821,Does a classical lyre have a hollow body?,Yes
823,Is the lyre a stringed musical instrument?,Yes
825,Which constellation is said to resemble a lyre shape?,Lyra
827,How many raised arms are extending from the sound-chest of a classical lyre?,Two
829,What were the strings of a classical lyre made of?,Gut
831,Is the foot pedal framework for a piano called a lyre?,Yes
833,Where was the deepest note of the classical lyre in relation to the player's body?,It was farthest from the player's body.
835,Does a standard piano have fewer strings than a harp?,No
837,Is Malay the official language of Iraq?,No
838,Could Malay have originated from Sumatra island?,Yes.
839,Is Malay an agglutinative language?,Yes
840,Is Malay an agglutinative language?,Yes.
841,What family is Malay a member of?,Austronesian family
842,What family is Malay a member of?,Austronesian.
843,What is the basic word order in Malay?,Subject Verb Object
844,What is the basic word order in Malay?,Subject Object Verb.
845,What languages has Malay borrowed words from?,"Sanskrit, Arabic and English"
846,What languages has Malay borrowed words from?,"Arabic, Sanskrit, Tamil, Persian, Portuguese, Dutch, certain Chinese dialects, and English."
847,Are there many words in Malay that use natural gender?,No
848,How are new words formed in Malay?,three methods.
849,How are new words formed in Malay?,"Affixation, composition, and reduplication."
850,Is Malay in the Austronesian family of languages?,Yes
852,Is Malay an agglutinative language?,Yes
854,Is there one negation word in Malay?,No
856,How many parts of speech are there in Malay?,Four
858,What is the basic word order in Malay?,Subject Verb Object
860,What is the national language in Malaysia?,Malay 
862,Do linguists consider Malay to be a single language?,No
864,Can speakers of modern Malay understand Old Malay?,No
866,What language besides Malay is in the Austronesia language family?,Malagasy
868,Wasn't Malay language found in Sumatra?,The Malay language was found in Sumatra.
869,Wasn't Malay language written using Pallava?,Yes.
870,Was Malay language written using Pallava?,Yes
871,Had the language already been used as the lingua franca throughout the archipelago since the 15th century?,yes
872,Do another distinguishing feature of Malay ( include Indonesian Malay )?,Another distinguishing feature of Malay (include Indonesian Malay) is its use of measure words (penjodoh bilangan).
873,Is Malay spoken as local dialect of ethnic Malays?,Yes
874,Give an example of the tributary states of the Majapahit kingdom in eastern Java. ,Malayu is an example of the tributary states of the Majapahit kingdom in eastern Java.
875,Is Malay the one of the most widely spoken languages in the world?,yes
876,Was it derived from Latin?,Yes
877,Is Melbourne the capital and most populous city in the state of Victoria?,Yes
878,Is Melbourne the capital and most populous city in the state of Victoria?,Yes.
879,Is Melbourne home to Australia's busiest seaport?,Yes
880,Is Melbourne home to Australia's busiest seaport?,Yes.
881,Does Melbourne have a large international student community?,Yes
882,Does Melbourne have a large international student community?,Yes.
883,What is a resident of Melbourne known as?,Melburnian
884,What is a resident of Melbourne known as?,"A ""Melburnian""."
885,When was Melbourne officially declared as a city?,1847
886,When was Melbourne officially declared as a city?,In 1847.
887,How many sister cities does the City of Melbourne have?,six
888,How many sister cities does the City of Melbourne have?,Six.
889,Where is Melbourne situated?,boundary of the very hot inland areas and the cold southern ocean
890,How many domestic tourists visit Melbourne?,7.6 million domestic visitors
891,How many domestic tourists visit Melbourne?,7.6 million.
892,What religion holds majority in Melbourne?,Christian
893,What religion holds majority in Melbourne?,Christianity.
894,Did Albert Einstein keep a photograph of Faraday on his study wall?,"Yes, Albert Einstein kept a photograph of Faraday on his study wall."
895,Did Albert Einstein keep a photograph of Faraday on his study wall?,yes
896,Did Faraday marry Sarah Barnard?,"Yes, Faraday married Sarah Barnard."
897,Did Faraday marry Sarah Barnard?,yes
898,Did Faraday also discover the laws of electrolysis?,"Yes, Faraday also discovered the laws of  electrolysis."
899,Did Faraday also discover the laws of electrolysis?,yes
900,Who discovered benzene?,Michael Faraday discovered benzene.
901,Who discovered benzene?,Michael Faraday
902,Where was Michael Faraday born?,Michael Faraday was born in Newington Butts.
903,Where was Michael Faraday born?,Newington Butts
904,What is the Faraday effect?,The Faraday effect is the phenomenon that the plane of polarisation of linearly polarised light can be rotated by the application of an external magnetic field aligned in the direction the light is moving.
905,What is the Faraday effect?,The plane of polarisation of linearly polarised light can be rotated by the application of an exernal magnetic field aligned in the direction the light is moving.
906,Did Faraday discover diamagnetism?,"Yes, Faraday discovered diamagnetism."
907,Did Faraday discover diamagnetism?,yes
908,How many siblings did Faraday have?,Faraday had three siblings.
909,How many siblings did Faraday have?,two
910,Where is Michael Faraday buried?,Michael Faraday is buried in the dissenters' section of Highgate Cemetery.
911,Where is Michael Faraday buried?,in the dissenters' section of Highgate Cemetery
912,Is faraday best known for his work with kinematics?,No
914,was he active in the area now called environmental science?,Yes
916,did he discover benzene?,Yes
918,who was his mentor?,John 'Mad Jack' Fuller
921,Who was Faraday's wife?,Sarah Barnard
923,did he advise the british government on the production of chemical weapons for use in the crimean war?,No
925,did faraday have strong maritime interests?,Yes
927,does the charge reside on the interior of a charged conductor?,No
929,Wasn't Michelangelo abstemious?,Michelangelo was abstemious.
930,Wasn't Michelangelo a homosexual?,It is not clear.
931,When did Filippo Strozzi sell it to Francis I?,In 1529.
932,When was his house demolished?,1874
933,Was Michelangelos mother Francesca di Neri del Miniato di Siena?,yes
934,Give an example of the most renowned works of the Renaissance. ,"The Statue of David, completed by Michelangelo in 1504"
935,Was Michelangelo's output in every field during his long life prodigious?,yes
954,Is English the language most often spoken in Montreal?,The language most spoken at home in the city is French.
955,Is English the language most often spoken in Montreal?,"No, the language most spoken in Montreal is French."
956,Is Montreal's economy the third largest of all cities in Canada?,"No, Montreal's economy is the second largest of all cities in Canada."
957,Is Montreal's economy the third largest of all cities in Canada?,"No, Montreal's economy is the second largest of all cities in Canada."
958,Is the most popular sport in Montreal ice hockey?,"yes, The most popular sport in Montreal is ice hockey."
959,Is the most popular sport in Montreal ice hockey?,"Yes, the most popular sport in Montreal is ice hockey."
960,How many international airports does Montreal have?,Montreal has two international airports.
961,How many international airports does Montreal have?,Montreal has two international airports.
962,Who is the Mayor of Montreal?,The mayor is GÃ©rald Tremblay.
963,Who is the Mayor of Montreal?,The mayor is GÃ©rald Tremblay.
964,What is the name of the largest church in Montreal?,The largest church in Montreal is named Saint Joseph's Oratory.
965,What is the name of the largest church in Montreal?,Saint Joseph's Oratory is the largest church in Montreal.
966,Where was much of Montreal's industry during the late 19th and early-to-mid 20th century?,The Sud-Ouest borough was home to much of the city's industry during the late 19th and early-to-mid 20th century. 
967,Where was much of Montreal's industry during the late 19th and early-to-mid 20th century?,The Sud-Ouest borough was home to much of the city's industry during the late 19th and early-to-mid 20th century.
968,Does Montreal contain the largest church in Canada?,Yes
969,Does Montreal contain the largest church in Canada?,"Yes, Montreal contains the largest church in Canada."
970,What is the largest primarily French-speaking city in the western world?,Paris is the largest primarily French-speaking city in the western world.
971,What is the largest primarily French-speaking city in the western world?,The largest primarily French-speaking city in the western world is Paris.
972,Is Nairobi the capital of Kenya?,Yes
974,Was Nairobi founded in 1899?,Yes
976,Is the current estimated population of Nairobi about 6 milion?,No
978,What is the current estimated population of Nairobi?,About 3 million
980,In what year was Nairobi founded?,1899
982,Which embassy in Nairobi was bombed in August 1998?,The United States Embassy
984,How many civilians died in the 1998 U.S. embassy bombing?,Over two hundred
986,How many trades can the NSE make per day?,10 million trades
988,About how many people are estimated to live in Nairobi?,3 million
990,The district is bordered to the southwest by Uhuru Park and where?,Central Park
991,When did the Catholic University of Eastern Africa which obtain its Letter of Interim Authority?,In 1989.
992,Is Central Park adjacent to Uhuru Park?,Central Park is adjacent to Uhuru Park.
993,Give an example of the highest growth rates of any city in Africa. ," The growth rate of Nairobi is currently 6.9%,  an example of the highest growth rates of any city in Africa."
994,Give an example of the most prominent cities in Africa politically and financially. ,Nairobi is now one of the most prominent cities in Africa politically and financially
995,Is Nairobi not the capital as well as largest city of Kenya?,Nairobi is the capital and largest city of Kenya.
996,Does the city and its surrounding area also form the Nairobi Province?,yes
997,"Does the name ``Nairobi'' come from the Maasai phrase Enkare Nyirobi, which translates to ``the place of cool waters''?",Yes.
998,Did Nikola Tesla die alone?,Nikola Tesla died alone.
999,Did Nikola Tesla die alone?,Yes
1000,Was Nikola Tesla close friends with Mark Twain?,Nikola Tesla was close friends with Mark Twain.
1001,Was Nikola Tesla close friends with Mark Twain?,Yes
1002,Did Nikola Tesla use a technique called picture thinking?,Nikola Tesla used a technique called picture thinking.
1003,Did Nikola Tesla use a technique called picture thinking?,Yes
1004,When did Nikola Tesla appear on the cover of Time Magazine?,"On Tesla's 75th birthday in 1931, Time magazine put him on its cover."
1005,When did Nikola Tesla appear on the cover of Time Magazine?,1931
1006,Who became adversaries with Nikola Tesla?,Nikola Tesla became adversaries with Edison.
1007,Who became adversaries with Nikola Tesla?,Edison
1008,Where did Nikola Tesla move to in 1880?,"In 1880, Nikola Tesla moved to Budapest."
1009,Where did Nikola Tesla move to in 1880?,Budapest
1010,Was Nikola Tesla's mother illiterate?,Nikola Tesla's mother never learned to read.
1011,Was Nikola Tesla's mother illiterate?,Yes
1012,How many siblings did Nikola Tesla have?,Nikola Tesla had four siblings.
1013,How many siblings did Nikola Tesla have?,4
1014,Was Nikola Tesla a vegetarian?, In his later years Tesla became a vegetarian.
1015,Was Nikola Tesla a vegetarian?,Yes
1016,"Is there a monument to Tesla at Niagara Falls, New York?",Yes
1018,Was Tesla an American citizen?,Yes
1020,Was Tesla on the cover of Time magazine?,Yes
1022,Where did Tesla study electrical engineering?,The Austrian Polytechnic in Graz
1024,When did Tesla receive his last patent?,1928
1026,What languages did Tesla speak?,"Serbian, Czech, English, French, German, Hungarian, Italian, and Latin"
1028,Did Tesla win the Nobel Prize?,No
1030,Was Tesla rich at the time of his death?,No
1032,What music group was named after Tesla?,Tesla
1034,"Consequently, what is not considered a ""serious painter"" by some contemporary artists, who often regard his work as bourgeois and kitsch?",Rockwell 
1035,Who spent the next 10 years painting for Look magazine?,Norman Rockwell.
1036,When was his last painting for the Post published?,1963
1037,"When did Rockwell marry his first wife, Irene O'Connor,?",In 1916.
1038,Did Norman Rockwell spend the winter months as artist-in-residence at Otis College of Art as well as Design?,Yes
1039,Did Norman Rockwell publish a total of 321 original covers for The Saturday Evening Post over 47 years?,Yes.
1040,Was Rockwell also commissioned to illustrate over 40 books including Tom Sawyer as well as Huckleberry Finn?,Rockwell was also commissioned to illustrate over 40 books including Tom Sawyer and Huckleberry Finn. 
